Nama Produk,Variasi,COGS (RM),Kos Pembungkusan (RM),Yuran Chip 2.5%,Jumlah Kos,Harga TikTok (RM),Harga Cadangan Website (RM),Margin Bersih (RM),Margin %
NOTA:,,,,,"Formula: Harga Website - COGS - Pembungkusan - Chip fee",,,"Tiada komisyen platform = margin lebih tinggi ~8-12% vs TikTok"
,,,,,,,,
Melon,1 biji,-,2.00,-,-,15.00,15.00,-,-
Melon,2 biji,-,2.00,-,-,28.00,28.00,-,-
Melon,4 biji,-,3.00,-,-,52.00,52.00,-,-
Melon,8 biji,-,3.00,-,-,99.00,99.00,-,-
,,,,,,,,
=== BUAH TEMPATAN ===
Manggis,500g,-,1.50,-,-,9.00,9.00,-,-
Manggis,1kg,-,2.00,-,-,15.00,15.00,-,-
Manggis,2kg,-,2.00,-,-,25.00,25.00,-,-
Rambutan,500g,-,1.50,-,-,9.00,9.00,-,-
Rambutan,1kg,-,2.00,-,-,15.00,15.00,-,-
Rambutan,2kg,-,2.00,-,-,25.00,25.00,-,-
Dokong,500g,-,1.50,-,-,9.00,9.00,-,-
Dokong,1kg,-,2.00,-,-,15.00,15.00,-,-
Dokong,2kg,-,2.00,-,-,25.00,25.00,-,-
Longan Jumbo,1kg,-,2.00,-,-,13.00,13.00,-,-
Longan Jumbo,2kg,-,2.00,-,-,22.00,22.00,-,-
Jambu Batu,1kg,-,2.00,-,-,13.00,13.00,-,-
Jambu Batu,2kg,-,2.00,-,-,22.00,22.00,-,-
Mangga Falan,1kg,-,2.00,-,-,13.00,13.00,-,-
Mangga Falan,2kg,-,2.00,-,-,22.00,22.00,-,-
Baby Nenas,1 pack,-,2.00,-,-,13.00,13.00,-,-
Baby Nenas,2 pack,-,2.00,-,-,22.00,22.00,-,-
Salak,1kg,-,2.00,-,-,14.50,14.50,-,-
Salak,2kg,-,2.00,-,-,22.70,22.70,-,-
Limau Bali,1 biji 1kg+,-,3.00,-,-,19.00,19.00,-,-
Limau Bali,2 biji 1kg+,-,3.00,-,-,47.50,47.50,-,-
Limau Bali,3 biji 1kg+,-,3.00,-,-,66.00,66.00,-,-
Limau Bali,1 biji 1.5kg+,-,3.00,-,-,32.90,32.90,-,-
Limau Bali,2 biji 1.5kg+,-,3.00,-,-,55.50,55.50,-,-
Limau Bali,3 biji 1.5kg+,-,3.00,-,-,79.50,79.50,-,-
Limau Bali,1 biji Baby 600g+,-,3.00,-,-,25.90,25.90,-,-
Limau Bali,2 biji Baby,-,3.00,-,-,40.90,40.90,-,-
Limau Bali,3 biji Baby,-,3.00,-,-,56.50,56.50,-,-
Isi Pomelo,1 pek,-,2.00,-,-,19.00,19.00,-,-
Isi Pomelo,2 pek,-,2.00,-,-,45.00,45.00,-,-
Isi Pomelo,3 pek,-,2.00,-,-,59.00,59.00,-,-
Isi Pomelo,4 pek + 1 jus,-,2.00,-,-,80.00,80.00,-,-
,,,,,,,,
=== DELIMA ===
Delima India,1 biji,-,1.50,-,-,11.00,11.00,-,-
Delima India,3 biji,-,2.00,-,-,29.00,29.00,-,-
Delima India,5 biji,-,2.00,-,-,40.00,40.00,-,-
Delima India,1 ctn,-,3.00,-,-,69.00,69.00,-,-
Delima India,2 ctn,-,3.00,-,-,129.00,129.00,-,-
Delima India,3 ctn,-,3.00,-,-,189.00,189.00,-,-
Delima Tunisia Small,1 biji,-,1.50,-,-,9.90,9.90,-,-
Delima Tunisia Small,2 biji,-,1.50,-,-,26.00,26.00,-,-
Delima Tunisia Small,3 biji,-,2.00,-,-,33.00,33.00,-,-
Delima Tunisia Small,6 biji,-,2.00,-,-,49.00,49.00,-,-
Delima Tunisia Small,12 biji,-,3.00,-,-,80.00,80.00,-,-
Delima Tunisia Large,1 biji,-,1.50,-,-,16.90,16.90,-,-
Delima Tunisia Large,2 biji,-,1.50,-,-,28.00,28.00,-,-
Delima Tunisia Large,3 biji,-,2.00,-,-,36.00,36.00,-,-
Delima Tunisia Large,6 biji,-,2.00,-,-,59.00,59.00,-,-
Delima Tunisia Large,12 biji,-,3.00,-,-,90.00,90.00,-,-
Delima Tunisia Jumbo,1 biji,-,1.50,-,-,16.90,16.90,-,-
Delima Tunisia Jumbo,2 biji,-,1.50,-,-,30.00,30.00,-,-
Delima Tunisia Jumbo,3 biji,-,2.00,-,-,42.00,42.00,-,-
Delima Tunisia Jumbo,6 biji,-,2.00,-,-,69.00,69.00,-,-
Delima Tunisia Jumbo,12 biji,-,3.00,-,-,110.00,110.00,-,-
,,,,,,,,
=== JUS & MINUMAN ===
Jus Delima,1 botol,-,1.50,-,-,25.00,25.00,-,-
Jus Delima,3 botol,-,2.00,-,-,49.00,49.00,-,-
Jus Delima,6 botol,-,2.00,-,-,89.00,89.00,-,-
Jus Delima,12 botol,-,3.00,-,-,159.00,159.00,-,-
Jus Delima,24 botol,-,3.00,-,-,289.00,289.00,-,-
,,,,,,,,
=== KURMA MUDA & SEGAR ===
Kurma Muda,250g,9.5,1.5,0.48,11.48,19.0,19.0,7.52,39.6%
Kurma Muda,500g,19.0,1.5,0.58,21.08,23.35,23.35,2.27,9.7%
Kurma Muda,1kg,38.0,2.0,2.0,42.0,80.0,80.0,38.0,47.5%
Kurma Muda,2kg,76.0,2.0,3.5,81.5,140.0,140.0,58.5,41.8%
Kurma Muda,3kg,114.0,2.0,2.48,118.48,99.0,99.0,-19.48,-19.7%
Kurma Muda,5kg,190.0,3.0,3.73,196.73,149.0,149.0,-47.73,-32.0%
Kurma Muda,3kg + 1kg Free,68.0,3.0,2.98,73.98,119.0,119.0,45.02,37.8%
Libya Fresh Gred 1,1kg,-,2.00,-,-,69.00,69.00,-,-
Libya Fresh Gred 1,2kg,-,2.00,-,-,109.00,109.00,-,-
Libya Fresh Gred 1,5kg,-,3.00,-,-,219.00,219.00,-,-
Libya Fresh Gred 2 (Sweet),1kg,-,2.00,-,-,69.00,69.00,-,-
Libya Fresh Gred 2 (Sweet),2kg,-,2.00,-,-,109.00,109.00,-,-
Libya Fresh Gred 2 (Sweet),5kg,-,3.00,-,-,219.00,219.00,-,-
Libya Fresh Gred 3 (Semi Dry),1kg,-,2.00,-,-,49.00,49.00,-,-
Libya Fresh Gred 3 (Semi Dry),2kg,-,2.00,-,-,59.00,59.00,-,-
Libya Fresh Gred 3 (Semi Dry),5kg,-,3.00,-,-,89.00,89.00,-,-
,,,,,,,,
=== READY TO EAT ===
Nenas Potong,1 cup 300g,-,1.50,-,-,6.00,6.00,-,-
Nenas Potong,2 cup 600g,-,2.00,-,-,11.00,11.00,-,-
Nenas Potong,3 cup 900g,-,2.00,-,-,15.00,15.00,-,-
Pulut Santan Durian,1 pack,-,2.00,-,-,39.00,39.00,-,-
Sweet Potato RTE,1 pek,-,1.50,-,-,7.00,7.00,-,-
Sweet Potato RTE,5 pek,-,2.00,-,-,25.00,25.00,-,-
Sweet Potato RTE,10 pek,-,3.00,-,-,46.00,46.00,-,-
Grilled Corn RTE,1 pek,-,1.50,-,-,7.00,7.00,-,-
Grilled Corn RTE,5 pek,-,2.00,-,-,25.00,25.00,-,-
Grilled Corn RTE,10 pek,-,3.00,-,-,46.00,46.00,-,-
Honey Sweet Potato,1 pek,-,1.50,-,-,13.00,13.00,-,-
Honey Sweet Potato,2 pek,-,2.00,-,-,22.00,22.00,-,-
Honey Sweet Potato,3 pek,-,2.00,-,-,30.00,30.00,-,-
,,,,,,,,
=== GIFT BOX & SET ===
FRUITBOX SET GWS (A),-,-,5.00,-,-,119.00,119.00,-,-
FRUITBOX SET GWS (B),-,-,5.00,-,-,59.00,59.00,-,-
