Nama Produk,Variasi,COGS (RM),Kos Pembungkusan (RM),Yuran Chip 2.5%,Jumlah Kos,Harga TikTok (RM),Harga Cadangan Website (RM),Margin Bersih (RM),Margin %
NOTA:,,,,,"Formula: Harga Website - COGS - Pembungkusan - Chip fee",,,"Tiada komisyen platform = margin lebih tinggi ~8-12% vs TikTok"
,,,,,,,,
KISMIS GOLDEN JUMBO,500g,14.00,1.50,0.88,16.38,35.00,35.00,18.63,53.2%
KISMIS GOLDEN JUMBO,1kg,28.00,1.50,1.38,30.88,55.00,55.00,24.13,43.9%
KISMIS BLACK JUMBO,100g,2.40,1.50,0.30,4.20,12.00,12.00,7.80,65.0%
KISMIS BLACK JUMBO,500g,12.00,1.50,0.88,14.38,35.00,35.00,20.63,58.9%
KISMIS BLACK JUMBO,1kg,24.00,1.50,1.38,26.88,55.00,55.00,28.13,51.1%
KISMIS GOLDEN SMALL,100g,1.60,1.50,0.30,3.40,12.00,12.00,8.60,71.7%
KISMIS GOLDEN SMALL,500g,8.00,1.50,0.73,10.23,29.00,29.00,18.78,64.7%
KISMIS GOLDEN SMALL,1kg,16.00,1.50,0.98,18.48,39.00,39.00,20.53,52.6%
KISMIS SULTANA,500g,5.00,1.50,0.43,6.93,17.00,17.00,10.08,59.3%
KISMIS SULTANA,1kg,11.00,1.50,0.73,13.23,29.00,29.00,15.78,54.4%
,,,,,,,,
=== KACANG ===,,,,,,,,
PISTACHIO,100g,4.70,1.50,0.38,6.58,15.00,15.00,8.43,56.2%
PISTACHIO,500g,23.50,1.50,1.13,26.13,45.00,45.00,18.88,41.9%
PISTACHIO,1kg,47.00,1.50,1.98,50.48,79.00,79.00,28.53,36.1%
GAJUS (Cashew),100g,4.60,1.50,0.38,6.48,15.00,15.00,8.53,56.8%
GAJUS (Cashew),500g,23.00,1.50,1.13,25.63,45.00,45.00,19.38,43.1%
GAJUS (Cashew),1kg,46.00,1.50,1.98,49.48,79.00,79.00,29.53,37.4%
ALMOND,100g,4.00,1.50,0.35,5.85,14.00,14.00,8.15,58.2%
ALMOND,500g,20.00,1.50,0.98,22.48,39.00,39.00,16.53,42.4%
ALMOND,1kg,40.00,1.50,1.73,43.23,69.00,69.00,25.78,37.4%
Roasted Cashew With Skin,100g,4.70,1.50,0.38,6.58,15.00,15.00,8.43,56.2%
Roasted Cashew With Skin,500g,23.50,1.50,1.13,26.13,45.00,45.00,18.88,41.9%
Roasted Cashew With Skin,1kg,47.00,1.50,1.98,50.48,79.00,79.00,28.53,36.1%
PEANUT CANDY (Gula-gula Kacang),100g,1.80,1.50,0.30,3.60,12.00,12.00,8.40,70.0%
PEANUT CANDY (Gula-gula Kacang),400g,7.20,1.50,0.63,9.33,25.00,25.00,15.68,62.7%
PEANUT CANDY (Gula-gula Kacang),800g,14.40,1.50,0.98,16.88,39.00,39.00,22.13,56.7%
,,,,,,,,
=== SERUNDING ===,,,,,,,,
SERUNDING IKAN,200g,9.20,1.50,0.60,11.30,24.00,24.00,12.70,52.9%
SERUNDING IKAN,400g,18.40,1.50,0.98,20.88,39.00,39.00,18.13,46.5%
SERUNDING IKAN,800g,36.80,1.50,1.73,40.03,69.00,69.00,28.98,42.0%
SERUNDING IKAN,1kg,46.00,1.50,1.98,49.48,79.00,79.00,29.53,37.4%
SERUNDING DAGING,200g,11.20,1.50,0.68,13.38,27.00,27.00,13.63,50.5%
SERUNDING DAGING,400g,22.40,1.50,1.23,25.13,49.00,49.00,23.88,48.7%
SERUNDING DAGING,800g,44.80,1.50,1.98,48.28,79.00,79.00,30.73,38.9%
SERUNDING DAGING,1kg,56.00,1.50,2.23,59.73,89.00,89.00,29.28,32.9%
SERUNDING AYAM,200g,11.20,1.50,0.68,13.38,27.00,27.00,13.63,50.5%
SERUNDING AYAM,400g,22.40,1.50,1.23,25.13,49.00,49.00,23.88,48.7%
SERUNDING AYAM,800g,44.80,1.50,1.98,48.28,79.00,79.00,30.73,38.9%
SERUNDING AYAM,1kg,56.00,1.50,2.23,59.73,89.00,89.00,29.28,32.9%
,,,,,,,,
=== COKLAT & LAIN-LAIN ===,,,,,,,,
Coklat Azerbaijan,1kg,27.00,1.50,1.48,29.98,59.00,59.00,29.03,49.2%
Coklat Azerbaijan,500g,13.50,1.50,0.98,15.98,39.00,39.00,23.03,59.0%
Coklat Azerbaijan,200g,5.40,1.50,0.48,7.38,19.00,19.00,11.63,61.2%
Madu Akasia + Kamquat,1 set,31.50,2.00,1.48,34.98,59.00,59.00,24.03,40.7%
Trial Pack,1 pack,4.13,1.50,0.25,5.88,10.00,10.00,4.13,41.3%
,,,,,,,,
=== DURIAN (SEGAR) ===
NOTA: Kos Pembungkusan termasuk kotak + ais pek (anggaran RM3.00),,,,,,,,
Musang King (Tempatan),500g,30.0,3.0,2.23,35.23,89.0,89.0,53.77,60.4%
Musang King (Tempatan),1kg,60.0,3.0,3.25,66.25,130.0,130.0,63.75,49.0%
Musang King (Tempatan),2kg,120.0,3.0,6.75,129.75,270.0,270.0,140.25,51.9%
Musang King THAI,500g,50.0,3.0,2.23,55.23,89.0,89.0,33.77,37.9%
Musang King THAI,1kg,100.0,3.0,3.75,106.75,150.0,150.0,43.25,28.8%
Musang King THAI,2kg,200.0,3.0,7.0,210.0,280.0,280.0,70.0,25.0%
Pamani / Udang Merah,500g,37.8,3.0,1.98,42.78,79.0,79.0,36.22,45.8%
Pamani / Udang Merah,1kg,75.6,3.0,2.98,81.58,119.0,119.0,37.42,31.4%
Pamani / Udang Merah,2kg,151.2,3.0,5.73,159.93,229.0,229.0,69.07,30.2%
Udang Merah Thai,500g,-,3.00,-,-,109.00,109.00,-,-
Udang Merah Thai,1kg,-,3.00,-,-,169.00,169.00,-,-
Udang Merah Thai,2kg,-,3.00,-,-,329.00,329.00,-,-
Ceni Tembaga,500g,30.0,3.0,1.73,34.73,69.0,69.0,34.27,49.7%
Ceni Tembaga,1kg,60.0,3.0,2.48,65.48,99.0,99.0,33.52,33.9%
Ceni Tembaga,2kg,120.0,3.0,4.5,127.5,180.0,180.0,52.5,29.2%
D13 / Udang Merah,500g,42.5,3.0,2.12,47.62,85.0,85.0,37.38,44.0%
D13 / Udang Merah,1kg,85.0,3.0,3.12,91.12,125.0,125.0,33.88,27.1%
D13 / Udang Merah,2kg,170.0,3.0,6.0,179.0,240.0,240.0,61.0,25.4%
Durian Kampung Kahwin,500g,25.0,3.0,1.48,29.48,59.0,59.0,29.52,50.0%
Durian Kampung Kahwin,1kg,50.0,3.0,2.23,55.23,89.0,89.0,33.77,37.9%
Durian Kampung Kahwin,2kg,100.0,3.0,4.23,107.23,169.0,169.0,61.77,36.6%
Blackthorn,500g,-,3.00,-,-,105.00,105.00,-,-
Blackthorn,1kg,-,3.00,-,-,130.00,130.00,-,-
Blackthorn,2kg,-,3.00,-,-,290.00,290.00,-,-
D24,500g,-,3.00,-,-,69.00,69.00,-,-
D24,1kg,-,3.00,-,-,68.00,68.00,-,-
D24,2kg,-,3.00,-,-,130.00,130.00,-,-
IOI,500g,-,3.00,-,-,59.00,59.00,-,-
IOI,1kg,-,3.00,-,-,90.00,90.00,-,-
IOI,2kg,-,3.00,-,-,170.00,170.00,-,-
Durian Monthong,500g,-,3.00,-,-,59.00,59.00,-,-
Durian Monthong,1kg,-,3.00,-,-,89.00,89.00,-,-
Durian Monthong,2kg,-,3.00,-,-,169.00,169.00,-,-
Durian Monthong,1 pek 600g,-,3.00,-,-,69.00,69.00,-,-
Durian Monthong,2 pek 1.2kg,-,3.00,-,-,99.00,99.00,-,-
Durian Monthong,3 pek 1.8kg,-,3.00,-,-,139.00,139.00,-,-
Durian Monthong,4 pek 2.4kg,-,3.00,-,-,179.00,179.00,-,-
Durian Kampung,500g,-,3.00,-,-,35.00,35.00,-,-
Durian Kampung,1kg,-,3.00,-,-,60.00,60.00,-,-
Durian Kampung,2kg,-,3.00,-,-,115.00,115.00,-,-
Combo MK + Udang Merah,500g,36.25,3.0,2.12,41.37,85.0,85.0,43.63,51.3%
Combo MK + Udang Merah,1kg,72.5,3.0,3.25,78.75,130.0,130.0,51.25,39.4%
Combo MK + Udang Merah,2kg,145.0,3.0,6.25,154.25,250.0,250.0,95.75,38.3%
Combo MK + Kampung Kahwin,500g,27.5,3.0,1.88,32.38,75.0,75.0,42.62,56.8%
Combo MK + Kampung Kahwin,1kg,55.0,3.0,2.75,60.75,110.0,110.0,49.25,44.8%
Combo MK + Kampung Kahwin,2kg,110.0,3.0,5.0,118.0,200.0,200.0,82.0,41.0%
Combo D24 + MK,500g,-,3.00,-,-,89.00,89.00,-,-
Combo D24 + MK,1kg,-,3.00,-,-,129.00,129.00,-,-
Combo D24 + MK,2kg,-,3.00,-,-,180.00,180.00,-,-
Combo UM + IOI,1kg,-,3.00,-,-,129.00,129.00,-,-
Combo UM + IOI,2kg,-,3.00,-,-,239.00,239.00,-,-
,,,,,,,,
=== DURIAN FROZEN ===
[FROZEN] Musang King,500g,-,2.00,-,-,65.00,65.00,-,-
[FROZEN] Musang King,1kg,-,2.00,-,-,110.00,110.00,-,-
[FROZEN] Blackthorn,500g,-,2.00,-,-,65.00,65.00,-,-
[FROZEN] Blackthorn,1kg,-,2.00,-,-,110.00,110.00,-,-
,,,,,,,,
=== HARUMANIS PERLIS ===
Harumanis Perlis,1kg,25.0,2.0,1.48,28.48,59.0,59.0,30.52,51.7%
Harumanis Perlis,3kg,75.0,2.0,3.48,80.48,139.0,139.0,58.52,42.1%
Harumanis Perlis,5kg,125.0,3.0,5.48,133.48,219.0,219.0,85.52,39.1%
,,,,,,,,
=== BUAH IMPORT ===
Strawberry USA,1 pack,12.0,2.0,0.62,14.62,25.0,25.0,10.38,41.5%
Strawberry USA,2 pack,24.0,2.0,1.12,27.12,45.0,45.0,17.88,39.7%
Strawberry USA,3 pack,36.0,2.0,1.58,39.58,63.0,63.0,23.42,37.2%
Avocado Australia,1 biji,2.7,1.5,0.18,4.38,7.0,7.0,2.62,37.4%
Avocado Australia,3 biji,8.1,1.5,0.45,10.05,18.0,18.0,7.95,44.2%
Avocado Australia,5 biji,13.5,2.0,0.65,16.15,26.0,26.0,9.85,37.9%
Apple Fuji XL,1 biji,2.88,1.5,0.2,4.58,8.0,8.0,3.42,42.8%
Apple Fuji XL,5 biji,14.38,2.0,0.62,17.0,25.0,25.0,8.0,32.0%
Apple Fuji XL,10 biji,28.75,2.0,1.12,31.87,45.0,45.0,13.13,29.2%
Navel Orange Sunkist,1 biji,2.2,1.5,0.18,3.88,7.0,7.0,3.12,44.6%
Navel Orange Sunkist,5 biji,11.0,2.0,0.62,13.62,25.0,25.0,11.38,45.5%
Navel Orange Sunkist,10 biji,22.0,2.0,1.12,25.12,45.0,45.0,19.88,44.2%
Cara Orange XL,3 biji,5.0,1.5,0.3,6.8,12.0,12.0,5.2,43.3%
Cara Orange XL,6 biji,10.0,2.0,0.58,12.58,23.0,23.0,10.42,45.3%
Cara Orange XL,12 biji,20.0,2.0,1.0,23.0,40.0,40.0,17.0,42.5%
Mini Sweet Orange,500g,3.25,1.5,0.25,5.0,10.0,10.0,5.0,50.0%
Mini Sweet Orange,1kg,6.5,2.0,0.38,8.88,15.0,15.0,6.12,40.8%
Mini Sweet Orange,2kg,13.0,2.0,0.62,15.62,25.0,25.0,9.38,37.5%
Fresh Figs Turkey,1 pack,9.2,2.0,0.62,11.82,25.0,25.0,13.18,52.7%
Fresh Figs Turkey,2 pack,18.4,2.0,1.05,21.45,42.0,42.0,20.55,48.9%
